repository,month,total_commits,huawei_domain_commits,partner_domain_commits,automation_commits,other_commits,non_merge_non_automation_commits,core_path_commits
ALL,2025-01,2,1,0,0,1,2,1
ALL,2025-02,2,2,0,0,0,2,1
ALL,2025-03,14,12,1,0,1,14,8
ALL,2025-04,21,13,6,0,2,21,11
ALL,2025-05,28,14,10,0,4,28,16
ALL,2025-06,29,9,17,3,0,25,9
ALL,2025-07,12,3,7,0,2,12,8
ALL,2025-08,13,6,7,0,0,13,10
ALL,2025-09,92,40,21,25,6,60,35
ALL,2025-10,214,121,47,45,1,169,124
ALL,2025-11,240,152,53,29,6,211,153
ALL,2025-12,401,245,75,32,49,369,264
ALL,2026-01,607,419,121,55,12,552,463
ALL,2026-02,720,520,137,53,10,667,590
ALL,2026-03,1067,760,205,69,33,998,866
ALL,2026-04,907,648,163,69,27,838,728
ALL,2026-05,852,595,132,96,29,756,657
ALL,2026-06,1214,887,176,108,43,1106,1004
ALL,2026-07,454,328,66,34,26,420,403
ops-transformer,2025-09,16,10,1,5,0,11,8
ops-transformer,2025-10,135,84,34,17,0,118,100
ops-transformer,2025-11,129,96,23,9,1,120,101
ops-transformer,2025-12,169,121,43,5,0,164,126
ops-transformer,2026-01,348,259,76,13,0,335,290
ops-transformer,2026-02,513,385,90,35,3,478,447
ops-transformer,2026-03,729,564,120,41,4,688,620
ops-transformer,2026-04,615,468,103,42,2,573,519
ops-transformer,2026-05,586,426,101,53,6,533,488
ops-transformer,2026-06,811,618,113,68,12,743,699
ops-transformer,2026-07,326,251,42,18,15,308,300
ops-math,2025-09,43,15,12,13,3,23,11
ops-math,2025-10,43,26,9,8,0,35,17
ops-math,2025-11,79,36,21,18,4,61,38
ops-math,2025-12,204,108,30,24,42,180,127
ops-math,2026-01,236,140,45,42,9,194,158
ops-math,2026-02,198,128,47,18,5,180,141
ops-math,2026-03,300,167,85,28,20,272,229
ops-math,2026-04,260,159,57,27,17,233,191
ops-math,2026-05,226,142,30,41,13,185,154
ops-math,2026-06,331,217,57,40,17,291,270
ops-math,2026-07,120,70,24,16,10,104,97
catlass,2025-01,2,1,0,0,1,2,1
catlass,2025-02,2,2,0,0,0,2,1
catlass,2025-03,14,12,1,0,1,14,8
catlass,2025-04,21,13,6,0,2,21,11
catlass,2025-05,28,14,10,0,4,28,16
catlass,2025-06,29,9,17,3,0,25,9
catlass,2025-07,12,3,7,0,2,12,8
catlass,2025-08,13,6,7,0,0,13,10
catlass,2025-09,33,15,8,7,3,26,16
catlass,2025-10,36,11,4,20,1,16,7
catlass,2025-11,32,20,9,2,1,30,14
catlass,2025-12,28,16,2,3,7,25,11
catlass,2026-01,23,20,0,0,3,23,15
catlass,2026-02,9,7,0,0,2,9,2
catlass,2026-03,38,29,0,0,9,38,17
catlass,2026-04,32,21,3,0,8,32,18
catlass,2026-05,40,27,1,2,10,38,15
catlass,2026-06,72,52,6,0,14,72,35
catlass,2026-07,8,7,0,0,1,8,6
